Date,Plant Energy (kWh),Plant Power (kW),Plant Insolation  (kWh/m2),Plant Irradiance  (W/m2),Plant Irradiance (Horizontal) (W/m2),Plant Temperature (Ambient) (ºC),Plant Temperature (Panel) (ºC)
01-01-20 01:00,0,-51.92,0,-2.05,-1.8,24.51,22.29
01-01-20 02:00,0,-52.39,0,-2.07,-2.07,25.22,23.31
01-01-20 03:00,0,-51.64,0,-2.58,-2.54,24.67,22.65
01-01-20 04:00,0,-51.11,0,-2.4,-2.37,23.79,21.64
01-01-20 05:00,0,-51.01,0,-2,-1.92,23.35,21.64
01-01-20 06:00,0,-51.53,0,-2,-2,22.48,20.91
01-01-20 07:00,0,-51.32,0,-2,-2,21.82,20.18
01-01-20 08:00,61,21.38,0,4.88,4.81,21.29,19.74
01-01-20 09:00,714,716.22,0.09,88.71,83.5,21.37,21.12
01-01-20 10:00,198,196.6,0.3,296.59,261.88,22.06,25.28
01-01-20 11:00,0,0,0.62,616.65,545.41,24.32,34.02
01-01-20 12:00,4870,4850.05,0.8,799.59,722.81,26.29,38.71
01-01-20 13:00,0,0,0.68,904.37,904.37,28.17,45.4
01-01-20 14:00,0,0,0.81,800.27,840.37,31.92,49.71
01-01-20 15:00,2146,2109.22,0.64,616.65,757.93,31.92,49.71
01-01-20 16:00,11498,11508.56,0.68,681.32,649.13,31.83,44.9
01-01-20 17:00,7152,7148.94,0.4,399.89,389.92,31.62,39.15
01-01-20 18:00,4029,4034.36,0.23,233.27,227.94,30.96,34.7
01-01-20 19:00,490,475.78,0.03,31.52,30.84,29.09,27.12
01-01-20 20:00,0,-74.2,0,-4.95,-5.13,25.55,21.8
01-01-20 21:00,0,-50.58,0,-3.33,-3.44,22.76,19.73
01-01-20 22:00,0,-50.36,0,-2.73,-2.69,22.51,19.63
01-01-20 23:00,0,-50.6,0,-2,-1.91,23.41,21.14
02-01-20 00:00,0,-50.64,0,-1.75,-1.71,23.6,21.63
02-01-20 01:00,0,-50.67,0,-2,-1.98,23.6,21.85
02-01-20 02:00,0,-50.55,0,-2.02,-1.98,23.11,21.16
02-01-20 03:00,0,-50.17,0,-2.27,-2.26,22.81,20.84
02-01-20 04:00,0,-50.01,0,-3,-2.99,22.05,19.62
02-01-20 05:00,0,-49.75,0,-2.96,-2.81,21.35,18.99
02-01-20 06:00,0,-50.47,0,-1.73,-1.72,21.02,19.24
02-01-20 07:00,0,-50.13,0,-1.36,-1.4,21.12,19.87
02-01-20 08:00,142,107.46,0.01,11.55,10.67,20.6,19.31
02-01-20 09:00,2189,2190.52,0.14,144.48,128.55,20.91,21.48
02-01-20 10:00,6951,6948.05,0.41,408.48,360.97,22.6,27.34
02-01-20 11:00,9675,9681.3,0.53,534.93,483.87,24.07,31.17
02-01-20 12:00,13150,13150.69,0.72,720.04,658.4,26.36,37.5
